wv,intens
0.007575758,50854.7461
0.015151515,50900.1562
0.022727273,50851.1172
0.03030303,50759.5469
0.037878788,50993.2266
0.045454545,50869.1562
0.053030303,51081.4844
0.060606061,51074.7891
0.068181818,51375.7109
0.075757576,51435.3203
0.083333333,51376.1719
0.090909091,51673.5156
0.098484848,51660.1406
0.106060606,51517.2344
0.113636364,51505.2734
0.121212121,51870.1016
0.128787879,51720.1797
0.136363636,51851.4141
0.143939394,52172.5156
0.151515152,52014.8047
0.159090909,52111.207
0.166666667,52386.1758
0.174242424,52220.6797
0.181818182,52355.7422
0.189393939,52560.9258
0.196969697,52685.7617
0.204545455,52657.5703
0.212121212,52840.7812
0.21969697,52777.7656
0.227272727,52992.9922
0.234848485,53242.2969
0.242424242,53268.2734
0.25,53515.6484
0.257575758,53175.6172
0.265151515,53638
0.272727273,53477.6758
0.28030303,53420.7891
0.287878788,53610.9375
0.295454545,53632.0391
0.303030303,53727.1562
0.310606061,53704.8516
0.318181818,53758.8984
0.325757576,54065.4609
0.333333333,54058.0508
0.340909091,54138.8164
0.348484848,54147.4766
0.356060606,54279.1016
0.363636364,54204.1016
0.371212121,54187.2969
0.378787879,54250.2695
0.386363636,54435.9336
0.393939394,54347.2031
0.401515152,54538.457
0.409090909,54605.3672
0.416666667,54857.0586
0.424242424,54718.0273
0.431818182,54926.25
0.439393939,54918.3711
0.446969697,54887.7734
0.454545455,55033.3828
0.462121212,55065.2969
0.46969697,55101.0391
0.477272727,55204.0859
0.484848485,55195.3984
0.492424242,55318.3281
0.5,55301.5977
0.507575758,55355.3281
0.515151515,55184.0273
0.522727273,55380.7734
0.53030303,55383.25
0.537878788,55524.4766
0.545454545,55594.4219
0.553030303,55609.6875
0.560606061,55615.8203
0.568181818,55743.8359
0.575757576,55939.082
0.583333333,55809.6914
0.590909091,55812.832
0.598484848,55821.3711
0.606060606,56075.9609
0.613636364,56013.8125
0.621212121,55848.7031
0.628787879,55981.2734
0.636363636,55893.2734
0.643939394,56072.2773
0.651515152,56063.582
0.659090909,56091.8281
0.666666667,56127.9531
0.674242424,56077.7734
0.681818182,56050.207
0.689393939,56268.5859
0.696969697,56305.8945
0.704545455,56577.2305
0.712121212,56609.8711
0.71969697,56522.7109
0.727272727,56827.6445
0.734848485,56680.9297
0.742424242,56844.1211
0.75,56893.9297
0.757575758,56927.3594
0.765151515,57106.3984
0.772727273,56949.0625
0.78030303,57074.9375
0.787878788,57265.2539
0.795454545,57285.7031
0.803030303,57180.8008
0.810606061,57399.5312
0.818181818,57170.5391
0.825757576,57217.8516
0.833333333,57241.1172
0.840909091,57379.5078
0.848484848,57525.1875
0.856060606,57712.7578
0.863636364,57456.8906
0.871212121,57604.2578
0.878787879,57622.707
0.886363636,57671.9844
0.893939394,57507.2031
0.901515152,57575.6094
0.909090909,57725.2227
0.916666667,57625.1953
0.924242424,57722.4375
0.931818182,57774.5586
0.939393939,57858.2539
0.946969697,57807.1719
0.954545455,58042.9922
0.962121212,57907.0312
